재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기,전기,전전기
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,ifrs-full_Revenue,매출액,40174802434,22265714472,21999630153
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,ifrs-full_CostOfSales,매출원가,35544026258,18652107942,20957287849
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,ifrs-full_GrossProfit,매출총이익,4630776176,3613606530,1042342304
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,2525721572,2460085164,2462288312
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,entity00378363_udf_IS_20196261949235_TotalSellingGeneralAdministrativeExpenses,   판매비,756086263,478428014,536448487
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,entity00378363_udf_IS_201962619492513_TotalSellingGeneralAdministrativeExpenses,   관리비,1769635309,1981657150,1925839825
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,dart_OperatingIncomeLoss,영업이익,2105054604,1153521366,-1419946008
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,ifrs-full_FinanceIncome,금융수익,207375914,13210780,9500312
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,ifrs-full_FinanceCosts,금융비용,376290862,230408751,455470086
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,dart_OtherGains,기타영업외이익,815762757,887669659,3294858839
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,dart_OtherLosses,기타영업외비용,653999812,1281866124,633238989
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),2097902601,542126930,795704068
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,0,59931775,41237460
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,ifrs-full_ProfitLoss,당기순이익(손실),2097902601,482195155,754466608
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,ifrs-full_OtherComprehensiveIncome,기타포괄손익,-342395323,0,0
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,   당기손익으로 재분류되지 않는항목(세후기타포괄손익),0,0,0
"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[060310],3S,코스닥시장상장법인,262,전자 부품 제조업,3,2023-03-31,사업보고서,KRW,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,      확정급여제도의 재측정손익(세후기타포괄손익),-342395323,0,0
