전표일자,전표번호,계정코드,계정과목,차변금액,대변금액,거래처,승인일자,프로젝트코드
2016-01-01,1,53100,지급수수료,"832,000",0,01404,2016-01-01,0001
2016-01-01,1,13500,부가세대급금,"83,200",0,01404,2016-01-01,
2016-01-01,1,25300,미지급금,0,"915,200",01404,2016-01-01,0031
2016-01-01,2,53100,지급수수료,"120,340",0,02161,2016-01-01,0026
2016-01-01,2,13500,부가세대급금,"12,034",0,02161,2016-01-01,
2016-01-01,2,25300,미지급금,0,"132,374",02161,2016-01-01,0033
2016-01-01,4,13500,부가세대급금,"740,396",0,05221,2016-01-01,
2016-01-01,4,25300,미지급금,0,"740,396",05221,2016-01-01,0031
2016-01-01,6,82300,경상연구개발비,"4,723,200",0,05337,2016-01-01,0018
2016-01-01,6,81900,임차료,"777,726",0,05337,2016-01-01,0009
2016-01-01,6,13100,선급금,0,"5,500,926",05337,2016-01-01,
2016-01-01,7,81100,복리후생비,"4,000,000",0,05676,2016-01-01,0001
2016-01-01,7,13100,선급금,0,"4,000,000",05676,2016-01-01,
2016-01-01,8,82300,경상연구개발비,"1,400,000",0,05709,2016-01-01,0018
2016-01-01,8,13100,선급금,0,"1,400,000",05709,2016-01-01,
2016-01-01,9,10800,외상매출금,"41,875,560",0,01403,2016-01-01,0006
2016-01-01,9,25500,부가세예수금,0,0,01403,2016-01-01,
2016-01-01,9,40400,제품매출,0,"41,875,560",01403,2016-01-01,0006
2016-01-01,10,10800,외상매출금,"24,963,600",0,01791,2016-01-01,0006
2016-01-01,10,25500,부가세예수금,0,0,01791,2016-01-01,
2016-01-01,10,40400,제품매출,0,"24,963,600",01791,2016-01-01,0006
2016-01-01,11,10800,외상매출금,"5,625,600",0,03286,2016-01-01,0006
2016-01-01,11,25500,부가세예수금,0,0,03286,2016-01-01,
2016-01-01,11,40400,제품매출,0,"5,625,600",03286,2016-01-01,0006
2016-01-01,12,10800,외상매출금,0,"582,544,710",00304,2016-01-01,
2016-01-01,12,13300,선급비용,"-3,056,378",0,00304,2016-01-01,
2016-01-01,12,93100,이자비용,"3,056,378",0,00304,2016-01-01,
2016-01-01,12,26000,단기차입금,"582,544,710",0,,2016-01-01,
2016-01-01,13,13100,선급금,"2,000,000",0,00304,2016-01-01,
2016-01-01,13,18800,장기지급보증금,0,"2,000,000",00304,2016-01-01,
2016-01-01,14,93200,외환차손,"7,554,460",0,00304,2016-01-01,0006
2016-01-01,14,25900,선수금,0,"7,554,460",05280,2016-01-01,0006
2016-01-01,15,25900,선수금,"59,242,438",0,05058,2016-01-01,0007
2016-01-01,15,10800,외상매출금,0,"59,242,438",05086,2016-01-01,0007
2016-01-01,16,10800,외상매출금,"12,657,286",0,04315,2016-01-01,0006
2016-01-01,16,90700,외환차익,0,"12,657,286",04315,2016-01-01,0006
2016-01-01,17,13300,선급비용,"-73,201,226",0,,2016-01-01,
2016-01-01,17,82100,보험료,"54,481,162",0,,2016-01-01,0001
2016-01-01,17,52100,보험료,"18,720,064",0,,2016-01-01,0001
2016-01-01,18,93100,이자비용,"-35,765,164",0,,2016-01-01,
2016-01-01,18,26200,미지급비용,0,"-35,765,164",,2016-01-01,
